Match Date,Player 1 Name,Player 2 Name,Score,Winning player name,Player 1 Ranking,Player 2 Ranking,Player 1 Aces,Player 2 Aces,Player 1 Double Faults,Player 2 Double Faults,Player 1 1st Serve Percentage,Player 2 1st Serve Percentage,Player 1 1st Serve Points Won,Player 2 1st Serve Points Won,Player 1 2nd Serve Points Won,Player 2 2nd Serve Points Won,Player 1 Break Points Saved,Player 2 Break Points Saved,Player 1 Return,Player 2 Return,Player 1 1st Return Points Won,Player 2 1st Return Points Won,Player 1 2nd Return Points Won,Player 2 2nd Return Points Won,Player 1 Break Points Converted,Player 2 Break Points Converted,Player 1 Winners,Player 2 Winners,Player 1 Unforced Errors,Player 2 Unforced Errors,Player 1 Net Points Won,Player 2 Net Points Won,Player 1 Max Points in Row,Player 2 Max Points in Row,Player 1 Service Points Won,Player 2 Service Points Won,Player 1 Return Points Won,Player 2 Return Points Won,Player 1 Total Points Won,Player 2 Total Points Won,Player 1 Max Games in Row,Player 2 Max Games in Row,Player 1 Service Games Won,Player 2 Service Games Won,Player 1 Return Games Won,Player 2 Return Games Won,Player 1 Total Games Won,Player 2 Total Games Won,Player 1 Distance Covered,Player 2 Distance Covered
09-11-2008,N. Djokovic,J. M. Del Potro,(7-5)(6-3),N. Djokovic,,,11.1%,3.0%,5.6%,1.5%,54.2%,62.1%,74.4%,58.5%,51.5%,52.0%,60.0%,63.6%,,,41.5%,25.6%,48.0%,48.5%,,,,,,,,,,,63.9%,56.1%,43.9%,36.1%,54.3%,45.7%,,,81.8%,60.0%,40.0%,18.2%,61.9%,38.1%,,
09-11-2008,N. Djokovic,G. Simon,(4-6)(6-3)(7-5),N. Djokovic,,,7.5%,3.7%,0.9%,4.6%,63.2%,53.2%,71.6%,70.7%,56.4%,49.0%,75.0%,78.6%,,,29.3%,28.4%,51.0%,43.6%,,,,,,,,,,,66.0%,60.6%,39.4%,34.0%,52.6%,47.4%,,,87.5%,80.0%,20.0%,12.5%,54.8%,45.2%,,
09-11-2008,N. Djokovic,N. Davydenko,(6-1)(7-5),N. Djokovic,,,7.3%,7.6%,5.5%,1.5%,61.8%,47.0%,73.5%,64.5%,66.7%,37.1%,75.0%,63.6%,,,35.5%,26.5%,62.9%,33.3%,,,,,,,,,,,70.9%,50.0%,50.0%,29.1%,59.5%,40.5%,,,90.0%,55.6%,44.4%,10.0%,68.4%,31.6%,,
09-11-2008,N. Djokovic,N. Davydenko,(7-6)(0-6)(7-5),N. Djokovic,,,6.8%,9.2%,3.4%,5.7%,61.4%,55.2%,75.9%,81.3%,50.0%,53.8%,50.0%,50.0%,,,18.8%,24.1%,46.2%,50.0%,,,,,,,,,,,65.9%,69.0%,31.0%,34.1%,48.6%,51.4%,,,73.3%,86.7%,13.3%,26.7%,43.3%,56.7%,,
09-11-2008,N. Davydenko,A. Murray,(7-5)(6-2),N. Davydenko,,,10.5%,1.4%,1.8%,1.4%,47.4%,52.9%,77.8%,64.9%,63.3%,45.5%,0.0%,60.0%,,,35.1%,22.2%,54.5%,36.7%,,,,,,,,,,,70.2%,55.7%,44.3%,29.8%,55.9%,44.1%,,,90.0%,60.0%,40.0%,10.0%,65.0%,35.0%,,
09-11-2008,J. W. Tsonga,N. Djokovic,(1-6)(7-5)(6-1),J. W. Tsonga,,,8.6%,3.9%,3.7%,2.6%,61.7%,64.5%,80.0%,69.4%,45.2%,48.1%,66.7%,40.0%,,,30.6%,20.0%,51.9%,54.8%,,,,,,,,,,,66.7%,61.8%,38.2%,33.3%,52.9%,47.1%,,,84.6%,76.9%,23.1%,15.4%,53.8%,46.2%,,
09-11-2008,J. M. Del Potro,J. W. Tsonga,(7-6)(7-6),J. M. Del Potro,,,6.7%,21.5%,4.0%,2.5%,68.0%,68.4%,82.4%,70.4%,54.2%,64.0%,50.0%,33.3%,,,29.6%,17.6%,36.0%,45.8%,,,,,,,,,,,73.3%,68.4%,31.6%,26.7%,51.9%,48.1%,,,83.3%,83.3%,16.7%,16.7%,50.0%,50.0%,,
09-11-2008,N. Davydenko,J. M. Del Potro,(6-3)(6-2),N. Davydenko,,,10.6%,0.0%,2.1%,1.8%,53.2%,56.4%,76.0%,58.1%,72.7%,37.5%,66.7%,20.0%,,,41.9%,24.0%,62.5%,27.3%,,,,,,,,,,,74.5%,49.1%,50.9%,25.5%,61.8%,38.2%,,,88.9%,50.0%,50.0%,11.1%,70.6%,29.4%,,
09-11-2008,N. Davydenko,J. W. Tsonga,(6-7)(6-4)(7-6),N. Davydenko,,,10.8%,5.0%,3.9%,1.7%,52.9%,65.3%,87.0%,69.6%,56.3%,42.9%,71.4%,72.7%,,,30.4%,13.0%,57.1%,43.8%,,,,,,,,,,,72.5%,60.3%,39.7%,27.5%,54.7%,45.3%,,,88.2%,82.4%,17.6%,11.8%,54.3%,45.7%,,
09-11-2008,G. Simon,R. Federer,(4-6)(6-4)(6-3),G. Simon,,,6.9%,3.3%,3.0%,2.2%,54.5%,51.6%,69.1%,74.5%,58.7%,47.7%,80.0%,75.0%,,,25.5%,30.9%,52.3%,41.3%,,,,,,,,,,,64.4%,61.5%,38.5%,35.6%,52.1%,47.9%,,,86.7%,78.6%,21.4%,13.3%,55.2%,44.8%,,
09-11-2008,A. Murray,G. Simon,(6-4)(6-2),A. Murray,,,2.9%,0.0%,1.4%,3.6%,65.7%,42.9%,67.4%,62.5%,54.2%,43.8%,87.5%,50.0%,,,37.5%,32.6%,56.3%,45.8%,,,,,,,,,,,62.9%,51.8%,48.2%,37.1%,56.3%,43.7%,,,88.9%,55.6%,44.4%,11.1%,66.7%,33.3%,,
09-11-2008,G. Simon,R. Stepanek,(6-1)(6-4),G. Simon,,,0.0%,6.8%,4.1%,13.6%,55.1%,47.7%,85.2%,71.4%,63.6%,43.5%,,25.0%,,,28.6%,14.8%,56.5%,36.4%,,,,,,,,,,,75.5%,56.8%,43.2%,24.5%,60.2%,39.8%,,,100.0%,62.5%,37.5%,0.0%,70.6%,29.4%,,
09-11-2008,A. Murray,A. Roddick,(6-4)(1-6)(6-1),A. Murray,,,12.5%,4.5%,5.6%,1.5%,62.5%,77.6%,80.0%,73.1%,40.7%,33.3%,50.0%,50.0%,,,26.9%,20.0%,66.7%,59.3%,,,,,,,,,,,65.3%,64.2%,35.8%,34.7%,51.1%,48.9%,,,83.3%,75.0%,25.0%,16.7%,54.2%,45.8%,,
09-11-2008,A. Murray,R. Federer,(4-6)(7-6)(7-5),A. Murray,,,6.3%,8.4%,2.7%,2.3%,56.3%,51.9%,69.8%,58.8%,42.9%,49.2%,57.1%,66.7%,,,41.2%,30.2%,50.8%,57.1%,,,,,,,,,,,58.0%,54.2%,45.8%,42.0%,51.4%,48.6%,,,64.7%,64.7%,35.3%,35.3%,50.0%,50.0%,,
09-11-2008,R. Federer,R. Stepanek,(7-6)(6-4),R. Federer,,,8.1%,5.2%,1.4%,3.9%,63.5%,59.7%,68.1%,69.6%,59.3%,41.9%,33.3%,40.0%,,,30.4%,31.9%,58.1%,40.7%,,,,,,,,,,,64.9%,58.4%,41.6%,35.1%,53.0%,47.0%,,,81.8%,72.7%,27.3%,18.2%,54.5%,45.5%,,
26-10-2008,F. Serra,G. Canas,(4-6)(7-5)(6-3),F. Serra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-10-2008,R. Nadal,F. Serra,(6-2)(6-4),R. Nadal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-10-2008,R. Nadal,G. Monfils,(6-3)(6-2),R. Nadal,,,0.0%,8.5%,0.0%,4.3%,57.4%,42.6%,74.3%,65.0%,65.4%,55.6%,100.0%,25.0%,,,35.0%,25.7%,44.4%,34.6%,,,,,,,,,,,70.5%,59.6%,40.4%,29.5%,57.4%,42.6%,,,100.0%,62.5%,37.5%,0.0%,70.6%,29.4%,,
26-10-2008,N. Davydenko,R. Nadal,(6-1),N. Davydenko,,,0.0%,0.0%,0.0%,3.0%,51.9%,57.6%,64.3%,52.6%,61.5%,28.6%,100.0%,62.5%,,,47.4%,35.7%,71.4%,38.5%,,,,,,,,,,,63.0%,42.4%,57.6%,37.0%,60.0%,40.0%,,,100.0%,25.0%,75.0%,0.0%,85.7%,14.3%,,
